"<android.view.View: void setFocusable(boolean)>","1"
"<android.view.View: void setFocusableInTouchMode(boolean)>","1"
"<android.app.Activity: void setContentView(android.view.View)>","org.haxe.nme.MainView{d386369 VFE...... ......I. 0,0-0,0}"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 46"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/miyoto_celebrate.ogg = 2130903085"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/organic_whoosh_07.ogg = 2130903086"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 47"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/organic_whoosh_07.ogg = 2130903086"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/poof.ogg = 2130903087"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 48"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/poof.ogg = 2130903087"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/pop.ogg = 2130903088"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 49"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/pop.ogg = 2130903088"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/scream_pain_female_01.ogg = 2130903089"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 50"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/scream_pain_female_01.ogg = 2130903089"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/select.ogg = 2130903090"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 51"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/select.ogg = 2130903090"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/sheena_woo.ogg = 2130903091"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 52"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/sheena_woo.ogg = 2130903091"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/transition.ogg = 2130903096"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 53"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/transition.ogg = 2130903096"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/unger_celebrate.ogg = 2130903097"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 54"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/unger_celebrate.ogg = 2130903097"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/unger_grunt.ogg = 2130903098"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 55"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/unger_grunt.ogg = 2130903098"
"<android.util.Log: int i(java.lang.String,java.lang.String)>","Sound","playMusic"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/theme.ogg = 2130903095"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----14"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----14"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----53"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----51"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----51"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----53"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----51"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----53"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----51"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----53"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----51"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----53"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----19"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","stopMusic"
"<android.util.Log: int i(java.lang.String,java.lang.String)>","Sound","playMusic"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/theme_arena.ogg = 2130903092"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----1"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----49"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----48"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----22"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----48"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----18"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","PlaySound -----1"
